,asset,date,count
218,LUNA,2022-02-10,21
219,LUNA,2022-02-11,20
220,LUNA,2022-02-12,8
221,LUNA,2022-02-13,16
222,LUNA,2022-02-14,11
223,LUNA,2022-02-15,12
224,LUNA,2022-02-16,10
225,LUNA,2022-02-17,26
226,LUNA,2022-02-18,27
227,MNGO,2021-12-25,26
228,MNGO,2021-12-26,17
229,MNGO,2021-12-27,19
230,MNGO,2021-12-28,13
231,MNGO,2021-12-29,12
232,MNGO,2021-12-30,22
233,MNGO,2021-12-31,25
234,MNGO,2022-01-01,18
235,MNGO,2022-01-02,6
236,MNGO,2022-01-03,8
237,MNGO,2022-01-05,1
238,MNGO,2022-01-07,8
239,MNGO,2022-01-08,1
240,MNGO,2022-01-12,1
241,MNGO,2022-01-13,29
242,MNGO,2022-01-14,19
243,MNGO,2022-01-15,16
244,MNGO,2022-01-16,7
245,MNGO,2022-01-17,11
246,MNGO,2022-01-18,3
247,MNGO,2022-01-19,9
248,MNGO,2022-01-20,7
249,MNGO,2022-01-21,9
250,MNGO,2022-01-22,3
251,MNGO,2022-01-23,6
252,MNGO,2022-01-24,5
253,MNGO,2022-01-25,4
254,MNGO,2022-01-26,1
255,MNGO,2022-01-27,3
256,MNGO,2022-01-28,4
257,MNGO,2022-01-29,3
258,MNGO,2022-01-30,2
259,MNGO,2022-01-31,3
260,MNGO,2022-02-01,3
261,MNGO,2022-02-02,2
262,MNGO,2022-02-03,4
263,MNGO,2022-02-04,2
264,MNGO,2022-02-05,4
265,MNGO,2022-02-06,4
266,MNGO,2022-02-07,4
267,MNGO,2022-02-08,1
268,MNGO,2022-02-09,4
269,MNGO,2022-02-10,5
270,MNGO,2022-02-11,4
271,MNGO,2022-02-12,4
272,MNGO,2022-02-13,3
273,MNGO,2022-02-14,3
274,MNGO,2022-02-15,3
275,MNGO,2022-02-16,2
276,MNGO,2022-02-17,1
277,MNGO,2022-02-18,2
278,RAY,2022-01-03,19
279,RAY,2022-01-04,20
280,RAY,2022-01-05,6
281,RAY,2022-01-06,8
282,RAY,2022-01-07,4
283,RAY,2022-01-09,1
284,RAY,2022-01-10,2
285,RAY,2022-01-11,6
286,RAY,2022-01-13,3
287,RAY,2022-01-14,2
288,RAY,2022-01-15,30
289,RAY,2022-01-16,8
290,RAY,2022-01-17,16
291,RAY,2022-01-18,9
292,RAY,2022-01-19,6
293,RAY,2022-01-20,8
294,RAY,2022-01-21,10
295,RAY,2022-01-22,3
296,RAY,2022-01-23,4
297,RAY,2022-01-24,10
298,RAY,2022-01-25,9
299,RAY,2022-01-26,9
300,RAY,2022-01-27,7
301,RAY,2022-01-28,4
302,RAY,2022-01-29,9
303,RAY,2022-01-30,8
304,RAY,2022-01-31,6
305,RAY,2022-02-01,8
306,RAY,2022-02-02,6
307,RAY,2022-02-03,3
308,RAY,2022-02-04,5
309,RAY,2022-02-06,2
310,RAY,2022-02-07,4
311,RAY,2022-02-08,3
312,RAY,2022-02-09,3
313,RAY,2022-02-10,7
314,RAY,2022-02-11,2
315,RAY,2022-02-12,3
316,RAY,2022-02-13,4
317,RAY,2022-02-14,4
318,RAY,2022-02-15,3
319,RAY,2022-02-16,7
320,RAY,2022-02-17,9
321,RAY,2022-02-18,3
322,SBR,2021-12-30,213
323,SBR,2021-12-31,2
324,SBR,2022-01-13,114
325,SBR,2022-01-14,118
326,SBR,2022-01-15,26
327,SBR,2022-01-17,1
328,SBR,2022-01-18,2
329,SBR,2022-01-19,1
330,SBR,2022-01-21,51
331,SBR,2022-01-22,36
332,SBR,2022-01-23,34
333,SBR,2022-01-24,36
334,SBR,2022-01-25,10
335,SBR,2022-01-26,3
336,SBR,2022-01-27,2
337,SBR,2022-01-28,53
338,SBR,2022-01-29,33
339,SBR,2022-01-30,26
340,SBR,2022-01-31,23
341,SBR,2022-02-01,19
342,SBR,2022-02-02,3
343,SBR,2022-02-03,23
344,SBR,2022-02-04,24
345,SBR,2022-02-05,8
346,SBR,2022-02-06,17
347,SBR,2022-02-07,6
348,SBR,2022-02-08,6
349,SBR,2022-02-09,3
350,SBR,2022-02-10,2
351,SBR,2022-02-11,30
352,SBR,2022-02-12,15
353,SBR,2022-02-18,18
354,SOL,2021-12-17,4
355,SOL,2021-12-18,14
356,SOL,2021-12-19,57
357,SOL,2021-12-20,267
358,SOL,2021-12-21,329
359,SOL,2021-12-22,178
360,SOL,2021-12-23,156
361,SOL,2021-12-24,91
362,SOL,2021-12-25,72
363,SOL,2021-12-26,88
364,SOL,2021-12-27,231
365,SOL,2021-12-28,38
366,SOL,2021-12-29,1
367,SOL,2021-12-30,1
368,SOL,2021-12-31,41
369,SOL,2022-01-01,4
370,SOL,2022-01-02,13
371,SOL,2022-01-03,201
372,SOL,2022-01-04,150
373,SOL,2022-01-05,100
374,SOL,2022-01-06,87
375,SOL,2022-01-07,81
376,SOL,2022-01-08,67
377,SOL,2022-01-09,92
378,SOL,2022-01-10,101
379,SOL,2022-01-11,125
380,SOL,2022-01-12,163
381,SOL,2022-01-13,166
382,SOL,2022-01-14,167
383,SOL,2022-01-15,290
384,SOL,2022-01-16,216
385,SOL,2022-01-17,247
386,SOL,2022-01-18,166
387,SOL,2022-01-19,143
388,SOL,2022-01-20,142
389,SOL,2022-01-21,149
390,SOL,2022-01-22,53
391,SOL,2022-01-23,69
392,SOL,2022-01-24,101
393,SOL,2022-01-25,151
394,SOL,2022-01-26,100
395,SOL,2022-01-27,121
396,SOL,2022-01-28,178
397,SOL,2022-01-29,112
398,SOL,2022-01-30,115
399,SOL,2022-01-31,113
400,SOL,2022-02-01,90
401,SOL,2022-02-02,121
402,SOL,2022-02-03,119
403,SOL,2022-02-04,106
404,SOL,2022-02-05,70
405,SOL,2022-02-06,105
406,SOL,2022-02-07,72
407,SOL,2022-02-08,41
408,SOL,2022-02-11,1
409,SOL,2022-02-18,1
410,SRM,2021-12-24,20
411,SRM,2021-12-25,17
412,SRM,2021-12-26,22
413,SRM,2021-12-27,17
414,SRM,2021-12-28,19
415,SRM,2021-12-29,20
416,SRM,2021-12-30,37
417,SRM,2021-12-31,23
418,SRM,2022-01-01,23
419,SRM,2022-01-02,16
420,SRM,2022-01-03,24
421,SRM,2022-01-04,20
422,SRM,2022-01-05,23
423,SRM,2022-01-06,10
424,SRM,2022-01-07,10
425,SRM,2022-01-08,10
426,SRM,2022-01-09,7
427,SRM,2022-01-10,9
428,SRM,2022-01-11,8
429,SRM,2022-01-12,7
430,SRM,2022-01-13,16
431,SRM,2022-01-14,19
432,SRM,2022-01-15,34
433,SRM,2022-01-16,14
434,SRM,2022-01-17,14
435,SRM,2022-01-18,8
436,SRM,2022-01-19,10
437,SRM,2022-01-20,10
438,SRM,2022-01-21,8
439,SRM,2022-01-22,4
440,SRM,2022-01-23,6
441,SRM,2022-01-24,5
442,SRM,2022-01-25,10
443,SRM,2022-01-26,9
444,SRM,2022-01-27,10
445,SRM,2022-01-28,12
446,SRM,2022-01-29,12
447,SRM,2022-01-30,7
448,SRM,2022-01-31,5
449,SRM,2022-02-01,9
450,SRM,2022-02-02,6
451,SRM,2022-02-03,7
452,SRM,2022-02-04,6
453,SRM,2022-02-05,7
454,SRM,2022-02-06,5
455,SRM,2022-02-07,9
456,SRM,2022-02-08,9
457,SRM,2022-02-09,4
458,SRM,2022-02-10,6
459,SRM,2022-02-11,6
460,SRM,2022-02-12,4
461,SRM,2022-02-13,7
462,SRM,2022-02-15,2
463,SRM,2022-02-16,2
464,SRM,2022-02-17,4
465,SRM,2022-02-18,4
466,mSOL,2021-12-21,112
467,mSOL,2021-12-22,129
468,mSOL,2021-12-23,66
469,mSOL,2021-12-24,86
470,mSOL,2021-12-25,99
471,mSOL,2021-12-26,62
472,mSOL,2021-12-27,8
473,mSOL,2021-12-28,11
474,mSOL,2021-12-31,15
475,mSOL,2022-01-01,2
476,mSOL,2022-01-02,20
477,mSOL,2022-01-03,154
478,mSOL,2022-01-04,1
479,mSOL,2022-01-05,79
480,mSOL,2022-01-06,68
481,mSOL,2022-01-07,56
482,mSOL,2022-01-08,32
483,mSOL,2022-01-09,35
484,mSOL,2022-01-10,37
485,mSOL,2022-01-11,29
486,mSOL,2022-01-12,39
487,mSOL,2022-01-13,43
488,mSOL,2022-01-14,64
489,mSOL,2022-01-15,88
490,mSOL,2022-01-16,32
491,mSOL,2022-01-17,60
492,mSOL,2022-01-18,41
493,mSOL,2022-01-19,28
494,mSOL,2022-01-20,30
495,mSOL,2022-01-21,29
496,mSOL,2022-01-22,10
497,mSOL,2022-01-23,15
498,mSOL,2022-01-24,18
499,mSOL,2022-01-25,16
500,mSOL,2022-01-26,26
501,mSOL,2022-01-27,27
502,mSOL,2022-01-28,35
503,mSOL,2022-01-29,12
504,mSOL,2022-01-30,16
505,mSOL,2022-01-31,13
506,mSOL,2022-02-01,10
507,mSOL,2022-02-02,17
508,mSOL,2022-02-03,14
509,mSOL,2022-02-04,20
510,mSOL,2022-02-05,17
511,mSOL,2022-02-06,17
512,mSOL,2022-02-07,7
513,mSOL,2022-02-08,6
514,mSOL,2022-02-09,14
515,mSOL,2022-02-10,10
516,mSOL,2022-02-11,11
517,mSOL,2022-02-12,6
518,mSOL,2022-02-13,8
519,mSOL,2022-02-14,5
520,mSOL,2022-02-15,12
521,mSOL,2022-02-16,8
522,mSOL,2022-02-17,15
523,mSOL,2022-02-18,9
524,scnSOL,2021-12-29,80
525,scnSOL,2021-12-30,172
526,scnSOL,2021-12-31,2
527,scnSOL,2022-01-03,1
528,scnSOL,2022-01-07,18
529,scnSOL,2022-01-08,2
530,scnSOL,2022-01-10,16
531,scnSOL,2022-01-11,45
532,scnSOL,2022-01-12,26
533,scnSOL,2022-01-13,40
534,scnSOL,2022-01-14,54
535,scnSOL,2022-01-17,1
536,scnSOL,2022-01-18,1
537,scnSOL,2022-01-19,1
538,scnSOL,2022-01-21,2
539,scnSOL,2022-01-26,1
540,scnSOL,2022-01-28,19
541,scnSOL,2022-01-29,14
542,scnSOL,2022-01-30,19
543,scnSOL,2022-01-31,7
544,scnSOL,2022-02-01,13
545,scnSOL,2022-02-02,7
546,scnSOL,2022-02-03,13
547,scnSOL,2022-02-04,8
548,scnSOL,2022-02-05,11
549,scnSOL,2022-02-06,8
550,scnSOL,2022-02-07,5
551,scnSOL,2022-02-08,8
552,scnSOL,2022-02-09,3
553,scnSOL,2022-02-10,4
554,scnSOL,2022-02-11,8
555,scnSOL,2022-02-12,6
556,scnSOL,2022-02-13,4
557,scnSOL,2022-02-14,1
558,scnSOL,2022-02-15,5
559,scnSOL,2022-02-16,4
560,scnSOL,2022-02-17,4
561,scnSOL,2022-02-18,4
